sample,task,student,transcript,recording_path,filtered,subtask_name,task_name,len_seconds,garbage_count,non_final_garbage_count,stutter_count,asterisk_count,filler_count,filtered_transcript,content_transcript,filtered_transcript_no_garbage,num_content_tokens,num_content_types,TTR,cefr,task_completion,keep,cefr_bin,subtask_test_train,task_test_train,task_wer_no_garb,task_cer_no_garb,task_prediction,subtask_wer_no_garb,subtask_cer_no_garb,subtask_prediction,infitms,infitmz,wer_task_subs,wer_task_dels,wer_task_ins,cer_task_subs,cer_task_dels,cer_task_ins,wer_subtask_subs,wer_subtask_dels,wer_subtask_ins,cer_subtask_subs,cer_subtask_dels,cer_subtask_ins
13,1,13,jag har sallad och pommes frites och ketsup och en <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_gjx/recording.wav,False,5_6,5,16.346875,1,0,0,0,0,jag har sallad och pommes frites och ketsup och en <garbage>,jag har sallad och pommes frites och ketsup och en,jag har sallad och pommes frites och ketsup och en,10,8,0.8,3.17,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.01,0.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
14,1,14,det är pommes frites och biffe och sallad och tomato det är mm mm tomatosås och mm <garbage> och mm mm,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_gqx/recording.wav,False,5_6,5,23.77725,1,1,0,0,5,det är pommes frites och biffe och sallad och tomato det är mm mm tomatosås och mm <garbage> och mm mm,det är pommes frites och biffe och sallad och tomato det är tomatosås och och,det är pommes frites och biffe och sallad och tomato det är mm mm tomatosås och mm och mm mm,15,9,0.6,3.17,2.16,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.97,-0.07,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
15,1,15,min <garbage> är bra där är potatis och grönsaker,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_h4v/recording.wav,False,5_6,5,11.888625,1,1,0,0,0,min <garbage> är bra där är potatis och grönsaker,min är bra där är potatis och grönsaker,min är bra där är potatis och grönsaker,8,7,0.875,2.82,2.16,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
16,1,16,öö jag har här e- en sallad öö biff mm fritera potaten,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_hkf/recording.wav,False,5_6,5,16.718375,0,0,1,0,3,öö jag har här e en sallad öö biff mm fritera potaten,jag har här en sallad biff fritera potaten,öö jag har här e en sallad öö biff mm fritera potaten,8,8,1.0,2.82,2.16,1,3,test,eval,9999.0,9999.0,9999,0.25,0.07547169811320754,öö jag har här äö en sallad öö bif mm friterat potaten,0.0,-0.28,9999,9999,9999,9999,9999,9999,1,11,0,4,49,0
17,1,17,jag tycker om det det är öö,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_j62/recording.wav,False,5_6,5,21.919625,0,0,0,0,1,jag tycker om det det är öö,jag tycker om det det är,jag tycker om det det är öö,6,5,0.8333333333333334,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
18,1,18,<garbage> öö det var <garbage> ööm köt och p- potatis och ketsup och sallad,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_jb8/recording.wav,False,5_6,5,17.8329375,2,1,1,0,1,<garbage> öö det var <garbage> ööm köt och p potatis och ketsup och sallad,det var ööm köt och potatis och ketsup och sallad,öö det var ööm köt och p potatis och ketsup och sallad,10,8,0.8,2.82,2.16,1,3,test,eval,9999.0,9999.0,9999,0.25,0.09259259259259259,öö det var köl öm köt och potatis och ketsup och sallad,0.0,-0.28,9999,9999,9999,9999,9999,9999,1,11,0,4,50,0
19,1,19,öö min mat är jätte god det jag har en potatis ska och något pork och sallad och ketsup <garbage> det är jätte gott jag älskar min m- mat,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_k68/recording.wav,False,5_6,5,25.6348125,1,1,1,0,1,öö min mat är jätte god det jag har en potatis ska och något pork och sallad och ketsup <garbage> det är jätte gott jag älskar min m mat,min mat är jätte god det jag har en potatis ska och något pork och sallad och ketsup det är jätte gott jag älskar min mat,öö min mat är jätte god det jag har en potatis ska och något pork och sallad och ketsup det är jätte gott jag älskar min m mat,26,18,0.6923076923076923,3.17,2.16,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.01,0.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
20,1,20,jag har potatis och sallad och en biff,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_k9t/recording.wav,False,5_6,5,19.6905,0,0,0,0,0,jag har potatis och sallad och en biff,jag har potatis och sallad och en biff,jag har potatis och sallad och en biff,8,7,0.875,3.17,2.16,1,3,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.01,0.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
21,1,21,mat is kul,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_kee/recording.wav,False,5_6,5,5.5728125,0,0,0,0,0,mat is kul,mat is kul,mat is kul,3,3,1.0,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
22,1,22,ööm <garbage> jag har öö sallad och stek och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_kk6/recording.wav,False,5_6,5,13.7461875,2,1,0,0,1,ööm <garbage> jag har öö sallad och stek och <garbage>,ööm jag har sallad och stek och,ööm jag har öö sallad och stek och,7,6,0.8571428571428571,3.17,1.67,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,1.01,0.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
23,1,23,öö min mat öö <garbage> öö är bra jag har *potatisk* och sallad och ketsupen och som ja,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_kqe/recording.wav,False,5_6,5,17.8329375,1,1,0,1,3,öö min mat öö <garbage> öö är bra jag har potatisk och sallad och ketsupen och som ja,min mat är bra jag har *potatisk* och sallad och ketsupen och som ja,öö min mat öö öö är bra jag har potatisk och sallad och ketsupen och som ja,14,12,0.8571428571428571,3.17,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.97,-0.07,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
24,1,24,mm <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_ksy/recording.wav,False,5_6,5,7.430375,1,0,0,0,1,mm <garbage>,,mm,0,0,,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
25,1,25,jag hade mm hälso- hälsosam och bra <garbage> mat mm <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_m7h/recording.wav,False,5_6,5,29.7215625,2,1,1,0,2,jag hade mm hälso hälsosam och bra <garbage> mat mm <garbage>,jag hade hälsosam och bra mat,jag hade mm hälso hälsosam och bra mat mm,6,6,1.0,2.82,1.03,1,3,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
26,1,26,öö här jag ha- har potatisen sallad biff med,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_mjx/recording.wav,False,5_6,5,14.11775,0,0,1,0,1,öö här jag ha har potatisen sallad biff med,här jag har potatisen sallad biff med,öö här jag ha har potatisen sallad biff med,7,7,1.0,3.17,2.16,1,3,eval,test,0.3333333333333333,0.18604651162790697,öö jag har potatisen sallad piff med,9999.0,9999.0,9999,1.01,0.1,1,2,0,1,7,0,9999,9999,9999,9999,9999,9999
27,1,27,där är som potatis och sallad och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_n6s/recording.wav,False,5_6,5,18.2044375,1,0,0,0,0,där är som potatis och sallad och <garbage>,där är som potatis och sallad och,där är som potatis och sallad och,7,6,0.8571428571428571,2.82,2.16,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
28,1,28,öö hej jag har sett en älg på vågen,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_njv/recording.wav,True,5_6,5,18.5759375,0,0,0,0,1,öö hej jag har sett en älg på vågen,hej jag har sett en älg på vågen,öö hej jag har sett en älg på vågen,8,8,1.0,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
29,1,29,mm det var jätte bra jag älskade det,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_nt6/recording.wav,False,5_6,5,5.5728125,0,0,0,0,1,mm det var jätte bra jag älskade det,det var jätte bra jag älskade det,mm det var jätte bra jag älskade det,7,6,0.8571428571428571,2.82,1.03,1,3,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,9.0,2.49,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
30,1,30,öö kom med mig öö till konserten jag älskade dig om du kom,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_pfh/recording.wav,True,5_6,5,11.517125,0,0,0,0,2,öö kom med mig öö till konserten jag älskade dig om du kom,kom med mig till konserten jag älskade dig om du kom,öö kom med mig öö till konserten jag älskade dig om du kom,11,10,0.9090909090909092,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31,1,31,ööm jag tog potatis och sallad,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_qjy/recording.wav,False,5_6,5,9.288,0,0,0,0,0,ööm jag tog potatis och sallad,ööm jag tog potatis och sallad,ööm jag tog potatis och sallad,6,6,1.0,2.82,1.67,1,3,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
32,1,32,jag har potatis och sallad och ketsup och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_qyu/recording.wav,False,5_6,5,22.2911875,1,0,0,0,0,jag har potatis och sallad och ketsup och <garbage>,jag har potatis och sallad och ketsup och,jag har potatis och sallad och ketsup och,8,6,0.75,2.82,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
33,1,33,det ser ut bra jag är hungrig,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_smt/recording.wav,False,5_6,5,10.031,0,0,0,0,0,det ser ut bra jag är hungrig,det ser ut bra jag är hungrig,det ser ut bra jag är hungrig,7,7,1.0,2.82,1.03,1,3,eval,test,0.2857142857142857,0.20689655172413793,det ser dut bra jag är hr,9999.0,9999.0,9999,0.0,-0.28,2,0,0,0,5,1,9999,9999,9999,9999,9999,9999
34,1,34,öm jag tog sallad och mm köt och öm och sås,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_snm/recording.wav,False,5_6,5,29.7215625,0,0,0,0,3,öm jag tog sallad och mm köt och öm och sås,jag tog sallad och köt och och sås,öm jag tog sallad och mm köt och öm och sås,8,6,0.75,2.82,2.16,1,3,train,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
35,1,35,jag fick ää f- ketsup och köt köt och sallad och ääm <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_t9k/recording.wav,False,5_6,5,23.77725,1,0,1,0,2,jag fick ää f ketsup och köt köt och sallad och ääm <garbage>,jag fick ketsup och köt köt och sallad och,jag fick ää f ketsup och köt köt och sallad och ääm,9,6,0.6666666666666666,2.82,2.16,1,3,test,eval,9999.0,9999.0,9999,0.3333333333333333,0.3333333333333333,jag fick ketsup och köt köt och sallad och äöm fronsertis,0.0,-0.28,9999,9999,9999,9999,9999,9999,1,11,0,4,47,0
36,1,36,ää det är biff och ää pommes frites och är det ketsup år <garbage> år lingon sylt jag vet inte ää <garbage> sallad med *tomates* och brun brun <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_vq3/recording.wav,False,5_6,5,26.749375,3,2,0,1,3,ää det är biff och ää pommes frites och är det ketsup år <garbage> år lingon sylt jag vet inte ää <garbage> sallad med tomates och brun brun <garbage>,det är biff och pommes frites och är det ketsup år år lingon sylt jag vet inte sallad med *tomates* och brun brun,ää det är biff och ää pommes frites och är det ketsup år år lingon sylt jag vet inte ää sallad med tomates och brun brun,23,17,0.7391304347826086,3.17,2.95,1,3,test,test,0.5769230769230769,0.25,det är piff och rpommes frits och rdeketsup ocr or lingonsilt jag vet inte sallad med tomatis och brun brun kastyken,0.46153846153846156,0.23333333333333334,ää jag är biff och äär pomesfrit och  ketsup och och lekonsilt jag vet inte äan sallad med tomatis och brun brun,0.97,-0.07,8,6,1,6,14,10,8,6,1,6,14,10
37,1,37,min mat är potatis skivor och ketsup och jag har en sallad när hä- var är tomaten och sallad och jag har en <garbage> och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_vq5/recording.wav,False,5_6,5,29.7215625,2,1,1,0,0,min mat är potatis skivor och ketsup och jag har en sallad när hä var är tomaten och sallad och jag har en <garbage> och <garbage>,min mat är potatis skivor och ketsup och jag har en sallad när var är tomaten och sallad och jag har en och,min mat är potatis skivor och ketsup och jag har en sallad när hä var är tomaten och sallad och jag har en och,23,14,0.6086956521739131,3.17,2.95,1,3,test,eval,9999.0,9999.0,9999,0.16666666666666666,0.045454545454545456,min mat är potatis skivor och ketsup och jag har en sallad är ää vad är tomaten och sallad och jag har en bioch,0.97,-0.07,9999,9999,9999,9999,9999,9999,1,23,0,4,106,0
38,1,38,öö min <garbage> var god,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_w28/recording.wav,False,5_6,5,15.6038125,1,1,0,0,1,öö min <garbage> var god,min var god,öö min var god,3,3,1.0,2.14,1.03,1,2,eval,train,9999.0,9999.0,9999,9999.0,9999.0,9999,0.78,-0.84,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
39,1,39,oj det är så god mat här nam nam,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_wy7/recording.wav,False,5_6,5,11.1455625,0,0,0,0,0,oj det är så god mat här nam nam,oj det är så god mat här nam nam,oj det är så god mat här nam nam,9,8,0.8888888888888888,2.82,1.03,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
40,1,40,aam min mitt mat var det var sallad och *potato* chips och ketsup och mm mm mm,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_xhp/recording.wav,False,5_6,5,29.7215625,0,0,0,1,3,aam min mitt mat var det var sallad och potato chips och ketsup och mm mm mm,aam min mitt mat var det var sallad och *potato* chips och ketsup och,aam min mitt mat var det var sallad och potato chips och ketsup och mm mm mm,14,11,0.7857142857142857,2.82,2.95,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
41,1,41,det är bra jag gillar det,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_ygy/recording.wav,False,5_6,5,29.7215625,0,0,0,0,0,det är bra jag gillar det,det är bra jag gillar det,det är bra jag gillar det,6,5,0.8333333333333334,2.14,1.03,1,2,test,eval,9999.0,9999.0,9999,0.0,0.0,det är bra jag gillar det,1.26,1.01,9999,9999,9999,9999,9999,9999,1,5,0,4,21,0
42,1,42,min <garbage> är öö god det är sallad och <garbage>,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_yv2/recording.wav,False,5_6,5,19.6905,2,1,0,0,1,min <garbage> är öö god det är sallad och <garbage>,min är god det är sallad och,min är öö god det är sallad och,7,6,0.8571428571428571,2.82,1.03,1,3,eval,eval,9999.0,9999.0,9999,9999.0,9999.0,9999,0.0,-0.28,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
43,1,43,jag har köt potatis och sallad med ketsup,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_zhj/recording.wav,False,5_6,5,16.718375,0,0,0,0,0,jag har köt potatis och sallad med ketsup,jag har köt potatis och sallad med ketsup,jag har köt potatis och sallad med ketsup,8,8,1.0,3.17,2.16,1,3,train,train,9999.0,9999.0,9999,9999.0,9999.0,9999,1.01,0.1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
44,1,44,det ligger en djur i vägen en stor djur,/m/teamwork/t40511_asr/c/digitala/2020-2021_reorganized_recordings/pilot_test_1_mono_16k/collected_freeform/5/5_6/joens_zr7/recording.wav,True,5_6,5,17.8329375,0,0,0,0,0,det ligger en djur i vägen en stor djur,det ligger en djur i vägen en stor djur,det ligger en djur i vägen en stor djur,9,7,0.7777777777777778,9999.0,0.0,0,0,-,-,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
